player_name,position,new_team,previous_team,acquisition_year,move_type,expected_role,impact_level,opportunity_gained,opportunity_lost,notes,target_threshold
Jacoby Brissett,QB,ARI,NE,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Easton Stick,QB,ATL,LAC,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Cooper Rush,QB,BAL,DAL,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Case Keenum,QB,CHI,HOU,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Joe Flacco,QB,CLE,IND,2025,free_agent,QB1,HIGH,,,"will start wk1, then rookie get time",400+ pass attempts
Kenny Pickett,QB,CLE,PHI,2025,trade,QB3,LOW,,,,400+ pass attempts
Sam Ehlinger,QB,DEN,IND,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Kyle Allen,QB,DET,PIT,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Daniel Jones,QB,IND,MIN,2025,free_agent,QB1,HIGH,,,will start until season is out of hand,400+ pass attempts
Nick Mullens,QB,JAX,MIN,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Bailey Zappe,QB,KC,CLE,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Gardner Minshew,QB,KC,LV,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Trey Lance,QB,LAC,DAL,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Geno Smith,QB,LV,SEA,2025,trade,QB1,HIGH,,,,400+ pass attempts
Zach Wilson,QB,MIA,DEN,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Sam Howell,QB,MIN,SEA,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Joshua Dobbs,QB,NE,SF,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Jameis Winston,QB,NYG,CLE,2025,free_agent,QB2,MEDIUM,,,will start if Wilson is bad but still chance to win games,400+ pass attempts
Russell Wilson,QB,NYG,PIT,2025,free_agent,QB1,HIGH,,,"will start wk1, then rookie get time",400+ pass attempts
Justin Fields,QB,NYJ,PIT,2025,free_agent,QB1,HIGH,,,,400+ pass attempts
Dorian Thompson-Robinson,QB,PHI,CLE,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Aaron Rodgers,QB,PIT,NYJ,2025,free_agent,QB1,HIGH,,,,400+ pass attempts
Mason Rudolph,QB,PIT,TEN,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Skylar Thompson,QB,PIT,MIA,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Drew Lock,QB,SEA,NYG,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Sam Darnold,QB,SEA,MIN,2025,free_agent,QB1,HIGH,,,,400+ pass attempts
Mac Jones,QB,SF,JAX,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Brandon Allen,QB,TEN,SF,2025,free_agent,QB2,LOW,,,,400+ pass attempts
Tim Boyle,QB,TEN,NYG,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Josh Johnson,QB,WAS,BAL,2025,free_agent,QB3,LOW,,,,400+ pass attempts
Rico Dowdle,RB,CAR,DAL,2025,free_agent,RB2,MEDIUM,,,,150+ carries or 50+ targets
Samaje Perine,RB,CIN,KC,2025,free_agent,RB3,LOW,,,,150+ carries or 50+ targets
Javonte Williams,RB,DAL,DEN,2025,free_agent,RB1,HIGH,,,,150+ carries or 50+ targets
Miles Sanders,RB,DAL,CAR,2025,free_agent,RB2,MEDIUM,,,,150+ carries or 50+ targets
J.K. Dobbins,RB,DEN,LAC,2025,free_agent,RB1,HIGH,,,,150+ carries or 50+ targets
Nick Chubb,RB,HOU,CLE,2025,free_agent,RB2,MEDIUM,,,,150+ carries or 50+ targets
Khalil Herbert,RB,IND,CIN,2025,free_agent,RB2,MEDIUM,,,,150+ carries or 50+ targets
Elijah Mitchell,RB,KC,SF,2025,free_agent,RB2,LOW,,,,150+ carries or 50+ targets
Najee Harris,RB,LAC,PIT,2025,free_agent,RB1,HIGH,,,,150+ carries or 50+ targets
Raheem Mostert,RB,LV,MIA,2025,free_agent,RB2,MEDIUM,,,,150+ carries or 50+ targets
Alexander Mattison,RB,MIA,LV,2025,free_agent,RB3,LOW,,,,150+ carries or 50+ targets
Jordan Mason,RB,MIN,SF,2025,free_agent,RB2,MEDIUM,,,,150+ carries or 50+ targets
