player_name,position,team,draft_year,draft_round,draft_pick,expected_role,impact_level,notes,target_threshold
Dillon Gabriel,QB,CLE,2025,3,94,QB2,MEDIUM,,400+ pass attempts
Shedeur Sanders,QB,CLE,2025,5,144,QB3,LOW,,400+ pass attempts
Riley Leonard,QB,IND,2025,6,189,QB3,LOW,,400+ pass attempts
Tyler Shough,QB,NO,2025,2,40,QB1,HIGH,,400+ pass attempts
Jaxson Dart,QB,NYG,2025,1,25,QB2,MEDIUM,,400+ pass attempts
Will Howard,QB,PIT,2025,6,185,QB2,LOW,,400+ pass attempts
Jalen Milroe,QB,SEA,2025,3,92,QB2,LOW,,400+ pass attempts
Cameron Ward,QB,TEN,2025,1,1,QB1,HIGH,,400+ pass attempts
Trevor Etienne,RB,CAR,2025,4,114,RB3,MEDIUM,,150+ carries or 50+ targets
Kyle Monangai,RB,CHI,2025,7,233,RB3,LOW,,150+ carries or 50+ targets
Tahj Brooks,RB,CIN,2025,6,193,RB3,LOW,,150+ carries or 50+ targets
Dylan Sampson,RB,CLE,2025,4,126,RB3,LOW,,150+ carries or 50+ targets
Quinshon Judkins,RB,CLE,2025,2,36,RB1,HIGH,,150+ carries or 50+ targets
Jaydon Blue,RB,DAL,2025,5,149,RB2,MEDIUM,,150+ carries or 50+ targets
Phil Mafah,RB,DAL,2025,7,239,RB3,LOW,,150+ carries or 50+ targets
R.J. Harvey,RB,DEN,2025,2,60,RB1,HIGH,,150+ carries or 50+ targets
Woody Marks,RB,HOU,2025,4,116,RB3,MEDIUM,,150+ carries or 50+ targets
D.J. Giddens,RB,IND,2025,5,151,RB3,MEDIUM,,150+ carries or 50+ targets
Bhayshul Tuten,RB,JAX,2025,4,104,RB2,MEDIUM,,150+ carries or 50+ targets
LeQuint Allen,RB,JAX,2025,7,236,RB4,LOW,,150+ carries or 50+ targets
Brashard Smith,RB,KC,2025,7,288,RB3,LOW,,150+ carries or 50+ targets
Jarquez Hunter,RB,LA,2025,4,117,RB3,LOW,,150+ carries or 50+ targets
Omarion Hampton,RB,LAC,2025,1,22,RB1,HIGH,,150+ carries or 50+ targets
Ashton Jeanty,RB,LV,2025,1,6,RB1,HIGH,,150+ carries or 50+ targets
Ollie Gordon,RB,MIA,2025,6,179,RB3,LOW,,150+ carries or 50+ targets
TreVeyon Henderson,RB,NE,2025,2,38,RB1,HIGH,,150+ carries or 50+ targets
Devin Neal,RB,NO,2025,6,148,RB3,LOW,,150+ carries or 50+ targets
Cam Skattebo,RB,NYG,2025,4,105,RB2,MEDIUM,,150+ carries or 50+ targets
